GEOID,NAME,B05002_001E,B05002_001M,B05002_013E,B05002_013M
04095,ZCTA5 04095,1341,211,8,7
04108,ZCTA5 04108,809,118,41,23
04224,ZCTA5 04224,2583,412,63,50
04263,ZCTA5 04263,2332,293,52,34
04265,ZCTA5 04265,795,235,0,11
04344,ZCTA5 04344,2905,31,26,42
04350,ZCTA5 04350,3611,43,55,43
04358,ZCTA5 04358,3917,473,30,33
04408,ZCTA5 04408,164,66,0,11
04416,ZCTA5 04416,5525,131,27,30
04418,ZCTA5 04418,1752,247,46,34
04428,ZCTA5 04428,3525,530,65,40
04434,ZCTA5 04434,1141,309,7,9
04444,ZCTA5 04444,8994,149,253,159
04456,ZCTA5 04456,2954,49,83,62
04475,ZCTA5 04475,584,127,5,7
04488,ZCTA5 04488,1360,163,16,18
04496,ZCTA5 04496,3985,32,47,38
04530,ZCTA5 04530,10974,288,552,202
04537,ZCTA5 04537,1609,336,21,25
04555,ZCTA5 04555,1552,178,82,35
04572,ZCTA5 04572,5044,16,31,34
04606,ZCTA5 04606,1346,241,17,12
04612,ZCTA5 04612,572,150,39,28
72456,ZCTA5 72456,473,127,0,12
72459,ZCTA5 72459,1242,368,8,9
72466,ZCTA5 72466,1508,387,6,7
72530,ZCTA5 72530,1157,248,13,22
72540,ZCTA5 72540,97,65,0,12
72542,ZCTA5 72542,4031,534,69,61
72004,ZCTA5 72004,886,243,0,12
72005,ZCTA5 72005,102,76,0,12
72014,ZCTA5 72014,23,23,0,12
72015,ZCTA5 72015,30097,1012,631,267
72032,ZCTA5 72032,33940,1610,1013,245
72042,ZCTA5 72042,5151,284,81,54
72051,ZCTA5 72051,646,261,0,12
72081,ZCTA5 72081,7409,1063,252,165
28075,ZCTA5 28075,19654,840,1841,485
28079,ZCTA5 28079,40990,1195,4076,662
28080,ZCTA5 28080,7387,935,364,253
28089,ZCTA5 28089,219,77,0,13
28115,ZCTA5 28115,36978,1243,2205,442
28120,ZCTA5 28120,21624,945,980,380
28169,ZCTA5 28169,169,84,0,13
28202,ZCTA5 28202,14153,1144,1583,456
28206,ZCTA5 28206,12260,1108,1667,392
28207,ZCTA5 28207,10294,1020,304,113
28270,ZCTA5 28270,34958,2147,5894,875
28301,ZCTA5 28301,16981,989,644,181
28311,ZCTA5 28311,35534,1581,2181,364
28385,ZCTA5 28385,2012,514,91,145
28323,ZCTA5 28323,4125,723,395,208
28325,ZCTA5 28325,647,216,62,47
28372,ZCTA5 28372,13371,810,219,86
28387,ZCTA5 28387,15110,822,954,355
28399,ZCTA5 28399,1896,440,140,103
28447,ZCTA5 28447,1941,518,488,377
28454,ZCTA5 28454,2827,655,0,13
28455,ZCTA5 28455,2698,742,73,80
28457,ZCTA5 28457,10967,1025,646,268
28460,ZCTA5 28460,10831,1086,259,147
28465,ZCTA5 28465,7750,467,95,46
28467,ZCTA5 28467,12115,1028,330,131
28707,ZCTA5 28707,179,97,0,13
28709,ZCTA5 28709,2650,574,4,7
28464,ZCTA5 28464,2827,675,111,83
28519,ZCTA5 28519,299,139,11,16
28527,ZCTA5 28527,1032,323,0,13
28528,ZCTA5 28528,589,291,0,13
28529,ZCTA5 28529,1979,283,23,19
28012,ZCTA5 28012,23475,825,1074,262
28027,ZCTA5 28027,68564,2245,8149,923
28032,ZCTA5 28032,3211,349,280,133
28052,ZCTA5 28052,35741,1697,2183,449
28076,ZCTA5 28076,819,584,0,13
28081,ZCTA5 28081,29421,2292,1520,500
28090,ZCTA5 28090,8649,1128,53,48
28129,ZCTA5 28129,5772,595,40,35
28146,ZCTA5 28146,30212,1946,680,336
28167,ZCTA5 28167,2284,653,129,167
28211,ZCTA5 28211,31510,1864,3109,1014
28213,ZCTA5 28213,45086,2217,8923,961
28216,ZCTA5 28216,49103,2952,4929,1161
28277,ZCTA5 28277,70193,2536,14929,1439
28278,ZCTA5 28278,29919,1948,4252,853
28303,ZCTA5 28303,30605,1602,3242,509
28314,ZCTA5 28314,59189,1695,5153,713
28330,ZCTA5 28330,240,180,0,13
28347,ZCTA5 28347,2012,413,278,122
28351,ZCTA5 28351,4767,585,27,38
28357,ZCTA5 28357,2520,432,159,75
18458,ZCTA5 18458,2968,462,189,82
18459,ZCTA5 18459,58,86,0,11
18503,ZCTA5 18503,1197,256,71,65
18509,ZCTA5 18509,13786,1059,940,286
18512,ZCTA5 18512,11550,618,648,273
72927,ZCTA5 72927,8034,583,101,76
72933,ZCTA5 72933,5114,792,19,17
72934,ZCTA5 72934,999,465,12,19
72937,ZCTA5 72937,3427,582,40,42
72949,ZCTA5 72949,10613,676,65,51
72358,ZCTA5 72358,1398,281,2,7
72467,ZCTA5 72467,290,153,6,13
72413,ZCTA5 72413,548,155,0,12
72421,ZCTA5 72421,435,132,3,5
72450,ZCTA5 72450,39002,600,300,97
72469,ZCTA5 72469,892,184,12,15
72010,ZCTA5 72010,6108,478,81,80
72020,ZCTA5 72020,3398,442,16,20
72045,ZCTA5 72045,1726,591,0,12
72057,ZCTA5 72057,1415,543,0,12
72064,ZCTA5 72064,2680,309,2,4
72069,ZCTA5 72069,1172,233,0,12
72083,ZCTA5 72083,182,85,12,21
72088,ZCTA5 72088,2387,364,30,23
72108,ZCTA5 72108,40,36,0,12
72114,ZCTA5 72114,11036,1039,389,249
72116,ZCTA5 72116,21459,1158,559,213
72127,ZCTA5 72127,1990,359,129,77
72150,ZCTA5 72150,12421,639,158,98
72160,ZCTA5 72160,9608,216,78,59
72176,ZCTA5 72176,8549,759,77,51
72201,ZCTA5 72201,1428,542,315,412
72202,ZCTA5 72202,9778,955,464,160
72321,ZCTA5 72321,199,130,11,17
72351,ZCTA5 72351,860,189,11,18
72353,ZCTA5 72353,81,109,0,12
72368,ZCTA5 72368,1192,190,84,84
72372,ZCTA5 72372,1939,312,0,12
72383,ZCTA5 72383,75,72,0,12
72411,ZCTA5 72411,2680,484,19,18
72801,ZCTA5 72801,19289,960,1730,344
72828,ZCTA5 72828,113,103,0,12
72837,ZCTA5 72837,7837,784,44,40
72839,ZCTA5 72839,465,283,0,12
72903,ZCTA5 72903,25824,1241,1887,483
72916,ZCTA5 72916,10181,1261,578,226
72936,ZCTA5 72936,14279,707,107,91
72938,ZCTA5 72938,1195,314,2,5
72941,ZCTA5 72941,5124,706,76,44
72753,ZCTA5 72753,9885,749,202,152
96002,ZCTA5 96002,33943,1453,2361,409
96019,ZCTA5 96019,10216,41,212,96
96023,ZCTA5 96023,1188,220,239,99
96039,ZCTA5 96039,896,196,4,6
96048,ZCTA5 96048,795,173,43,28
96050,ZCTA5 96050,414,109,23,14
96051,ZCTA5 96051,1193,220,25,17
96001,ZCTA5 96001,34008,1331,1697,315
96010,ZCTA5 96010,96,69,1,2
96011,ZCTA5 96011,260,141,3,4
96029,ZCTA5 96029,190,73,5,9
96041,ZCTA5 96041,2871,481,134,93
96046,ZCTA5 96046,124,104,0,13
96061,ZCTA5 96061,0,13,0,13
72102,ZCTA5 72102,3278,633,21,22
72110,ZCTA5 72110,11405,680,260,158
72117,ZCTA5 72117,14872,1512,142,125
72118,ZCTA5 72118,21534,1657,841,356
72128,ZCTA5 72128,814,163,0,12
72137,ZCTA5 72137,2186,531,30,44
72153,ZCTA5 72153,3552,855,12,20
72168,ZCTA5 72168,2316,591,0,12
72169,ZCTA5 72169,62,37,0,12
72175,ZCTA5 72175,409,242,0,12
72330,ZCTA5 72330,591,192,53,55
72331,ZCTA5 72331,2897,429,21,30
72341,ZCTA5 72341,252,115,0,12
72342,ZCTA5 72342,4487,481,55,69
72346,ZCTA5 72346,694,266,0,12
72529,ZCTA5 72529,4912,367,21,33
72453,ZCTA5 72453,179,61,4,8
72472,ZCTA5 72472,8744,236,75,60
72476,ZCTA5 72476,6658,379,100,70
72846,ZCTA5 72846,4125,549,234,177
72904,ZCTA5 72904,21949,1188,5056,696
72926,ZCTA5 72926,724,229,0,12
72935,ZCTA5 72935,495,166,0,12
72946,ZCTA5 72946,3518,597,1,2
72948,ZCTA5 72948,200,144,0,12
72322,ZCTA5 72322,128,56,0,12
72329,ZCTA5 72329,170,123,0,12
72355,ZCTA5 72355,2155,382,17,24
72370,ZCTA5 72370,7302,135,132,148
72373,ZCTA5 72373,949,215,7,7
72386,ZCTA5 72386,1724,273,0,12
72538,ZCTA5 72538,858,404,0,12
72007,ZCTA5 72007,8259,855,248,129
72002,ZCTA5 72002,18352,1283,867,288
72058,ZCTA5 72058,17511,1235,355,234
72067,ZCTA5 72067,2335,403,5,7
72070,ZCTA5 72070,1736,491,0,12
72074,ZCTA5 72074,119,65,0,12
72086,ZCTA5 72086,11372,1137,313,180
72099,ZCTA5 72099,685,29,34,65
72129,ZCTA5 72129,1146,266,18,20
72553,ZCTA5 72553,25,17,0,12
72561,ZCTA5 72561,686,240,0,12
72565,ZCTA5 72565,781,274,0,12
72579,ZCTA5 72579,1404,396,22,36
98603,ZCTA5 98603,961,328,26,30
98614,ZCTA5 98614,142,137,0,13
98628,ZCTA5 98628,285,105,15,17
98629,ZCTA5 98629,8761,585,344,138
98662,ZCTA5 98662,33798,1776,3934,757
98685,ZCTA5 98685,29788,1653,2562,466
98801,ZCTA5 98801,43799,959,5879,778
98813,ZCTA5 98813,3012,233,1407,212
98817,ZCTA5 98817,185,139,0,13
98830,ZCTA5 98830,492,101,13,11
98844,ZCTA5 98844,4428,678,313,148
98849,ZCTA5 98849,1216,332,122,108
98934,ZCTA5 98934,995,278,17,21
98226,ZCTA5 98226,45380,1883,4604,754
18657,ZCTA5 18657,11575,432,153,53
18702,ZCTA5 18702,40105,1059,4336,621
18705,ZCTA5 18705,14425,849,1319,363
18814,ZCTA5 18814,205,71,0,11
18821,ZCTA5 18821,1203,162,39,23
18822,ZCTA5 18822,3096,318,64,48
18828,ZCTA5 18828,337,109,0,11
18832,ZCTA5 18832,1944,278,16,18
18842,ZCTA5 18842,209,61,8,12
18845,ZCTA5 18845,345,80,2,4
18847,ZCTA5 18847,6011,409,56,36
18854,ZCTA5 18854,1715,287,3,4
18942,ZCTA5 18942,2805,501,52,38
18944,ZCTA5 18944,26301,1081,1191,319
18974,ZCTA5 18974,40405,985,4419,772
18938,ZCTA5 18938,13560,606,898,218
18940,ZCTA5 18940,29164,650,3868,670
18642,ZCTA5 18642,3862,465,74,83
18655,ZCTA5 18655,5441,395,42,23
18660,ZCTA5 18660,3645,268,18,18
18618,ZCTA5 18618,3684,254,114,85
18517,ZCTA5 18517,4807,434,115,89
18603,ZCTA5 18603,19441,432,382,230
18610,ZCTA5 18610,5247,942,275,192
18622,ZCTA5 18622,193,105,0,11
18629,ZCTA5 18629,1838,255,18,14
18630,ZCTA5 18630,3086,312,30,18
18661,ZCTA5 18661,5055,382,66,29
18707,ZCTA5 18707,15891,402,975,307
18829,ZCTA5 18829,656,118,37,52
18840,ZCTA5 18840,10756,487,473,207
18850,ZCTA5 18850,1965,238,36,35
18851,ZCTA5 18851,624,105,13,10
18917,ZCTA5 18917,2110,284,140,80
18936,ZCTA5 18936,0,11,0,11
18969,ZCTA5 18969,14930,814,991,296
18830,ZCTA5 18830,566,90,11,9
