GEOID,NAME,B05002_001E,B05002_001M,B05002_013E,B05002_013M
25245,ZCTA5 25245,632,242,0,12
25268,ZCTA5 25268,1059,331,0,12
25286,ZCTA5 25286,1719,429,0,12
25303,ZCTA5 25303,6764,735,199,126
25311,ZCTA5 25311,10386,975,129,65
25419,ZCTA5 25419,10860,1322,259,165
25434,ZCTA5 25434,3078,707,56,81
25446,ZCTA5 25446,1212,444,70,61
25106,ZCTA5 25106,604,237,2,3
25501,ZCTA5 25501,1204,329,0,12
25507,ZCTA5 25507,864,283,10,17
25515,ZCTA5 25515,1856,372,0,12
25520,ZCTA5 25520,1200,570,0,12
25535,ZCTA5 25535,2848,759,33,53
25564,ZCTA5 25564,1217,608,0,12
25601,ZCTA5 25601,5053,644,20,23
25606,ZCTA5 25606,1346,358,0,12
25608,ZCTA5 25608,967,253,19,28
25617,ZCTA5 25617,824,345,0,12
25621,ZCTA5 25621,1512,369,0,12
25628,ZCTA5 25628,226,151,0,12
25632,ZCTA5 25632,247,110,0,12
25644,ZCTA5 25644,584,360,0,12
25671,ZCTA5 25671,1724,476,0,12
25817,ZCTA5 25817,588,361,0,12
25818,ZCTA5 25818,461,274,0,12
25836,ZCTA5 25836,101,161,0,12
25843,ZCTA5 25843,935,445,0,12
25666,ZCTA5 25666,333,163,0,12
25650,ZCTA5 25650,344,201,0,12
26541,ZCTA5 26541,2761,702,0,12
26576,ZCTA5 26576,886,336,0,12
26627,ZCTA5 26627,266,192,0,12
26629,ZCTA5 26629,239,168,0,12
26676,ZCTA5 26676,494,295,0,12
26680,ZCTA5 26680,308,212,0,12
26714,ZCTA5 26714,430,246,0,12
26726,ZCTA5 26726,12331,769,113,79
26731,ZCTA5 26731,446,186,0,12
26753,ZCTA5 26753,6129,822,0,17
26757,ZCTA5 26757,7032,773,69,39
26804,ZCTA5 26804,650,180,0,12
26823,ZCTA5 26823,68,55,0,12
26855,ZCTA5 26855,658,214,0,12
26003,ZCTA5 26003,41196,751,838,227
26031,ZCTA5 26031,1525,232,9,13
26150,ZCTA5 26150,6030,756,129,114
26152,ZCTA5 26152,9,47,0,12
26159,ZCTA5 26159,3016,389,9,12
26180,ZCTA5 26180,1980,542,0,12
26184,ZCTA5 26184,2547,637,40,42
26217,ZCTA5 26217,122,94,0,12
26224,ZCTA5 26224,255,124,0,12
26259,ZCTA5 26259,33,54,0,12
26269,ZCTA5 26269,894,212,0,12
26278,ZCTA5 26278,548,213,0,12
26294,ZCTA5 26294,940,268,0,12
26327,ZCTA5 26327,120,109,0,12
28119,ZCTA5 28119,2286,508,72,67
26034,ZCTA5 26034,4397,655,0,12
26037,ZCTA5 26037,6196,424,76,55
26062,ZCTA5 26062,20493,355,297,92
26143,ZCTA5 26143,4517,390,15,14
26149,ZCTA5 26149,2002,331,0,12
26201,ZCTA5 26201,20019,707,130,92
26266,ZCTA5 26266,88,120,0,12
26267,ZCTA5 26267,608,375,0,12
26292,ZCTA5 26292,586,134,0,12
26320,ZCTA5 26320,522,153,3,6
26347,ZCTA5 26347,2341,456,8,16
26385,ZCTA5 26385,3879,486,4,11
26411,ZCTA5 26411,544,275,0,12
26419,ZCTA5 26419,974,303,26,34
26430,ZCTA5 26430,338,148,8,11
26440,ZCTA5 26440,1187,349,0,12
26447,ZCTA5 26447,1118,304,30,46
26519,ZCTA5 26519,2131,418,0,12
26554,ZCTA5 26554,41939,1001,665,173
26570,ZCTA5 26570,3591,613,5,7
26587,ZCTA5 26587,411,161,10,16
26611,ZCTA5 26611,177,159,0,12
26623,ZCTA5 26623,1168,506,0,12
26624,ZCTA5 26624,3137,543,0,12
26443,ZCTA5 26443,537,317,0,12
26562,ZCTA5 26562,374,177,0,12
26621,ZCTA5 26621,840,283,3,7
26833,ZCTA5 26833,2197,400,0,12
26169,ZCTA5 26169,605,277,10,17
26291,ZCTA5 26291,147,97,0,12
26408,ZCTA5 26408,2651,617,0,12
26705,ZCTA5 26705,664,209,8,12
26707,ZCTA5 26707,281,120,0,12
26719,ZCTA5 26719,2929,627,6,12
26801,ZCTA5 26801,649,281,0,12
26808,ZCTA5 26808,437,241,0,12
26814,ZCTA5 26814,552,183,0,12
26836,ZCTA5 26836,6925,639,495,325
26852,ZCTA5 26852,843,266,0,12
26374,ZCTA5 26374,1613,443,0,12
26537,ZCTA5 26537,5607,419,84,78
26710,ZCTA5 26710,2224,446,8,11
26716,ZCTA5 26716,691,221,0,12
26717,ZCTA5 26717,829,239,0,12
26743,ZCTA5 26743,1735,534,0,12
26750,ZCTA5 26750,928,237,0,12
26560,ZCTA5 26560,105,84,0,12
26335,ZCTA5 26335,1751,424,7,18
26254,ZCTA5 26254,157,77,0,12
26563,ZCTA5 26563,306,107,0,12
26591,ZCTA5 26591,1609,556,0,12
26178,ZCTA5 26178,191,126,0,12
26425,ZCTA5 26425,924,215,0,12
26559,ZCTA5 26559,1232,283,15,18
26631,ZCTA5 26631,71,74,0,12
26030,ZCTA5 26030,625,162,1,2
26170,ZCTA5 26170,6023,306,14,17
26268,ZCTA5 26268,52,70,0,12
17953,ZCTA5 17953,371,81,9,10
26321,ZCTA5 26321,156,68,0,12
26412,ZCTA5 26412,318,137,0,12
27890,ZCTA5 27890,2686,427,40,28
27958,ZCTA5 27958,12364,817,242,116
27101,ZCTA5 27101,19888,1438,1186,285
27283,ZCTA5 27283,3007,606,284,240
27834,ZCTA5 27834,59049,2026,3191,605
27873,ZCTA5 27873,370,126,26,32
27925,ZCTA5 27925,3902,64,134,86
27973,ZCTA5 27973,1178,248,0,13
27110,ZCTA5 27110,2754,1071,95,70
27201,ZCTA5 27201,82,41,14,15
27205,ZCTA5 27205,36294,1783,1956,447
27332,ZCTA5 27332,33465,2278,2310,436
27340,ZCTA5 27340,15,23,0,13
27517,ZCTA5 27517,24928,1312,3378,583
27518,ZCTA5 27518,18397,1066,2771,493
27519,ZCTA5 27519,58178,2244,18225,1436
27523,ZCTA5 27523,14946,2899,2192,534
27527,ZCTA5 27527,27711,1780,1673,548
27531,ZCTA5 27531,750,252,68,58
27537,ZCTA5 27537,23894,1101,1220,320
27539,ZCTA5 27539,23488,1944,2261,555
27556,ZCTA5 27556,287,162,3,6
27574,ZCTA5 27574,14527,1006,121,94
27617,ZCTA5 27617,19048,1461,2506,533
27709,ZCTA5 27709,1115,476,286,262
27825,ZCTA5 27825,87,72,0,13
27861,ZCTA5 27861,94,82,0,13
27879,ZCTA5 27879,347,108,6,9
27881,ZCTA5 27881,55,30,0,13
27978,ZCTA5 27978,268,165,3,6
27577,ZCTA5 27577,26352,1317,2528,586
27016,ZCTA5 27016,1440,299,2,4
27326,ZCTA5 27326,3253,629,51,64
27356,ZCTA5 27356,2974,609,133,111
27408,ZCTA5 27408,17063,1120,893,253
27504,ZCTA5 27504,14734,1148,700,273
27513,ZCTA5 27513,46660,1900,8877,903
27520,ZCTA5 27520,43170,2106,3108,784
27525,ZCTA5 27525,14088,1355,562,249
27530,ZCTA5 27530,38229,1820,1614,423
27534,ZCTA5 27534,31139,1342,2049,384
27536,ZCTA5 27536,16171,633,782,311
27540,ZCTA5 27540,41097,1105,2755,633
27560,ZCTA5 27560,37830,1185,12392,1064
27587,ZCTA5 27587,73345,2447,4544,829
27866,ZCTA5 27866,908,270,60,56
27892,ZCTA5 27892,14068,658,430,153
27924,ZCTA5 27924,3465,850,1,3
27928,ZCTA5 27928,1844,426,71,72
27935,ZCTA5 27935,1853,490,10,17
27937,ZCTA5 27937,4205,480,84,75
27962,ZCTA5 27962,6813,475,70,100
26234,ZCTA5 26234,1190,324,5,8
27850,ZCTA5 27850,7847,666,229,140
27871,ZCTA5 27871,4452,524,181,144
27874,ZCTA5 27874,3984,631,11,17
17025,ZCTA5 17025,16511,895,1219,453
28144,ZCTA5 28144,25486,1285,920,383
28150,ZCTA5 28150,27400,1479,760,243
28168,ZCTA5 28168,10749,1175,630,266
28173,ZCTA5 28173,58565,1513,5895,633
28205,ZCTA5 28205,50461,2384,9567,1225
28214,ZCTA5 28214,40105,2251,5502,1153
28307,ZCTA5 28307,17245,1293,699,196
28315,ZCTA5 28315,13804,1025,438,249
28318,ZCTA5 28318,3644,714,124,81
28320,ZCTA5 28320,9524,889,29,38
28333,ZCTA5 28333,11218,1351,1441,353
28730,ZCTA5 28730,9632,1066,107,68
28480,ZCTA5 28480,2592,72,60,41
28715,ZCTA5 28715,26451,1939,1257,415
28716,ZCTA5 28716,18095,1114,366,213
28729,ZCTA5 28729,3534,787,102,105
28732,ZCTA5 28732,18575,1169,950,423
28733,ZCTA5 28733,34,35,0,13
28001,ZCTA5 28001,26998,878,1072,280
28007,ZCTA5 28007,616,177,5,8
28018,ZCTA5 28018,4196,740,38,35
28020,ZCTA5 28020,2604,667,98,155
28025,ZCTA5 28025,55540,2284,4280,841
28072,ZCTA5 28072,1313,335,5,12
28432,ZCTA5 28432,1371,445,0,13
28394,ZCTA5 28394,6110,913,168,103
28395,ZCTA5 28395,2171,355,73,61
28411,ZCTA5 28411,38112,1684,2444,788
28436,ZCTA5 28436,1935,483,32,52
28441,ZCTA5 28441,3352,711,257,165
28443,ZCTA5 28443,24778,1083,656,203
28452,ZCTA5 28452,723,374,0,13
28458,ZCTA5 28458,6357,824,324,143
28463,ZCTA5 28463,8732,656,217,181
28479,ZCTA5 28479,7138,780,70,71
28510,ZCTA5 28510,1395,239,33,21
28512,ZCTA5 28512,3305,399,68,28
28515,ZCTA5 28515,2787,275,100,44
28421,ZCTA5 28421,1893,400,77,106
28422,ZCTA5 28422,8598,940,193,126
28423,ZCTA5 28423,2791,543,99,82
28430,ZCTA5 28430,2250,432,26,44
28445,ZCTA5 28445,7288,593,127,67
28448,ZCTA5 28448,621,273,124,153
28449,ZCTA5 28449,2141,422,51,40
28468,ZCTA5 28468,4388,525,122,75
28745,ZCTA5 28745,440,177,20,31
28751,ZCTA5 28751,3812,538,121,72
28752,ZCTA5 28752,31690,917,1621,321
28768,ZCTA5 28768,7923,676,194,109
28805,ZCTA5 28805,19600,1376,1113,510
28906,ZCTA5 28906,19665,788,612,159
28077,ZCTA5 28077,552,161,0,13
28097,ZCTA5 28097,6085,541,102,99
28103,ZCTA5 28103,11233,1016,172,135
28105,ZCTA5 28105,47292,1475,6284,1016
28110,ZCTA5 28110,54912,1772,5254,698
28124,ZCTA5 28124,6794,889,253,137
19140,ZCTA5 19140,52608,3601,5294,1291
17009,ZCTA5 17009,1892,292,6,9
17010,ZCTA5 17010,363,310,0,11
17033,ZCTA5 17033,17969,1779,1975,1765
17044,ZCTA5 17044,21013,572,308,133
17829,ZCTA5 17829,281,79,4,9
17832,ZCTA5 17832,687,178,0,11
17835,ZCTA5 17835,336,111,8,12
17845,ZCTA5 17845,1902,188,14,21
17861,ZCTA5 17861,196,114,9,14
17866,ZCTA5 17866,10190,20,85,55
17929,ZCTA5 17929,1350,219,29,24
17002,ZCTA5 17002,699,173,0,11
17005,ZCTA5 17005,295,71,3,5
17006,ZCTA5 17006,1028,142,18,19
17020,ZCTA5 17020,9122,476,67,55
17035,ZCTA5 17035,940,195,0,11
17047,ZCTA5 17047,2815,362,30,26
17061,ZCTA5 17061,7190,157,82,60
17065,ZCTA5 17065,3559,487,188,124
17087,ZCTA5 17087,2884,424,42,32
17104,ZCTA5 17104,19765,1271,2178,691
17213,ZCTA5 17213,597,117,0,11
17214,ZCTA5 17214,828,250,0,11
17215,ZCTA5 17215,253,79,0,11
17222,ZCTA5 17222,10717,937,405,290
17225,ZCTA5 17225,20576,1118,612,250
17302,ZCTA5 17302,2566,455,26,25
17340,ZCTA5 17340,11024,353,270,199
17355,ZCTA5 17355,321,110,0,11
17403,ZCTA5 17403,39217,1341,3316,613
17516,ZCTA5 17516,4875,597,47,48
17538,ZCTA5 17538,7311,924,247,155
17554,ZCTA5 17554,7214,833,473,323
17557,ZCTA5 17557,14860,884,304,248
17565,ZCTA5 17565,2297,467,22,26
17569,ZCTA5 17569,6422,768,51,41
17601,ZCTA5 17601,53023,1626,4276,661
17602,ZCTA5 17602,50660,1846,6091,1119
17721,ZCTA5 17721,1532,237,26,25
17739,ZCTA5 17739,31,11,0,11
17758,ZCTA5 17758,841,95,27,24
17810,ZCTA5 17810,5884,571,386,142
17823,ZCTA5 17823,1252,125,14,11
17887,ZCTA5 17887,656,412,11,18
17921,ZCTA5 17921,7208,366,101,76
17923,ZCTA5 17923,327,112,0,11
17933,ZCTA5 17933,90,110,0,11
17935,ZCTA5 17935,1464,211,14,23
17959,ZCTA5 17959,1395,247,10,9
17960,ZCTA5 17960,4183,531,118,76
17972,ZCTA5 17972,10936,624,128,83
17965,ZCTA5 17965,1890,222,15,13
17978,ZCTA5 17978,296,94,0,11
17820,ZCTA5 17820,5405,312,35,31
17776,ZCTA5 17776,232,50,0,11
17812,ZCTA5 17812,1562,243,0,11
17311,ZCTA5 17311,211,73,0,11
17314,ZCTA5 17314,6085,445,30,56
20012,ZCTA5 20012,18375,1659,3140,542
17090,ZCTA5 17090,5636,275,0,15
17265,ZCTA5 17265,821,244,0,11
17028,ZCTA5 17028,3982,673,46,38
17067,ZCTA5 17067,15111,760,74,54
17228,ZCTA5 17228,1062,142,0,11
17886,ZCTA5 17886,1190,407,51,96
17964,ZCTA5 17964,819,126,18,20
17083,ZCTA5 17083,126,95,0,11
17221,ZCTA5 17221,582,156,5,7
17327,ZCTA5 17327,8318,732,70,46
17509,ZCTA5 17509,5246,564,110,96
17762,ZCTA5 17762,467,127,0,11
17860,ZCTA5 17860,2217,382,20,30
17764,ZCTA5 17764,2341,205,12,11
17814,ZCTA5 17814,4604,354,193,80
17830,ZCTA5 17830,1988,155,3,4
17938,ZCTA5 17938,2517,266,22,26
17985,ZCTA5 17985,1232,185,10,15
17744,ZCTA5 17744,2881,260,39,31
17868,ZCTA5 17868,1162,194,55,52
17980,ZCTA5 17980,2931,257,79,101
17015,ZCTA5 17015,21898,1193,388,161
17030,ZCTA5 17030,859,208,92,129
17039,ZCTA5 17039,71,87,0,11
17050,ZCTA5 17050,38993,1324,5774,721
17056,ZCTA5 17056,120,83,0,11
17071,ZCTA5 17071,110,31,0,11
17120,ZCTA5 17120,0,11,0,11
17202,ZCTA5 17202,30942,1469,932,369
17210,ZCTA5 17210,119,76,0,11
17217,ZCTA5 17217,155,71,0,11
17246,ZCTA5 17246,402,284,0,11
17247,ZCTA5 17247,433,150,0,11
17250,ZCTA5 17250,33,52,0,11
17251,ZCTA5 17251,80,39,0,11
17256,ZCTA5 17256,254,297,0,11
17261,ZCTA5 17261,297,142,0,11
17263,ZCTA5 17263,799,402,0,11
17272,ZCTA5 17272,342,154,0,11
17371,ZCTA5 17371,235,115,0,11
17408,ZCTA5 17408,23402,867,900,290
17507,ZCTA5 17507,112,160,0,11
17550,ZCTA5 17550,576,240,0,11
17606,ZCTA5 17606,428,182,14,21
17723,ZCTA5 17723,54,35,0,11
17727,ZCTA5 17727,81,33,6,10
17779,ZCTA5 17779,318,258,0,11
17822,ZCTA5 17822,0,11,0,11
17876,ZCTA5 17876,1812,362,3,5
17880,ZCTA5 17880,149,94,0,11
17268,ZCTA5 17268,29153,938,583,227
17271,ZCTA5 17271,292,107,2,5
17094,ZCTA5 17094,2569,333,25,26
17102,ZCTA5 17102,7531,663,648,270
17223,ZCTA5 17223,288,95,0,11
17224,ZCTA5 17224,2077,563,3,5
17236,ZCTA5 17236,8084,758,199,162
17240,ZCTA5 17240,3981,380,53,35
20427,ZCTA5 20427,0,13,0,13
19333,ZCTA5 19333,6893,731,1291,362
19341,ZCTA5 19341,19133,1069,3065,438
19344,ZCTA5 19344,12145,516,276,183
19350,ZCTA5 19350,11606,714,748,186
19403,ZCTA5 19403,46794,1189,6159,819
19435,ZCTA5 19435,38,56,0,11
19457,ZCTA5 19457,107,105,21,33
19137,ZCTA5 19137,8652,785,395,204
19046,ZCTA5 19046,17961,1068,1427,367
19047,ZCTA5 19047,33199,1388,2561,448
19063,ZCTA5 19063,35439,870,2849,413
19075,ZCTA5 19075,7600,507,321,147
19076,ZCTA5 19076,6559,59,55,48
19015,ZCTA5 19015,16647,572,891,302
19030,ZCTA5 19030,11989,1022,894,277
19038,ZCTA5 19038,31615,1388,1795,439
19730,ZCTA5 19730,441,178,23,27
19732,ZCTA5 19732,81,106,0,12
19806,ZCTA5 19806,9313,662,393,119
19954,ZCTA5 19954,1417,457,14,14
19960,ZCTA5 19960,6209,838,669,349
19966,ZCTA5 19966,30601,1851,1848,328
19136,ZCTA5 19136,34962,2486,4028,995
19081,ZCTA5 19081,10075,664,732,233
19086,ZCTA5 19086,12142,302,1482,370
19106,ZCTA5 19106,13536,1110,1620,276
19141,ZCTA5 19141,34115,2143,3152,728
19145,ZCTA5 19145,44508,2608,7563,1159
19367,ZCTA5 19367,82,66,6,9
19374,ZCTA5 19374,1013,385,483,323
19437,ZCTA5 19437,1091,397,72,75
19444,ZCTA5 19444,10855,688,922,274
19446,ZCTA5 19446,58570,1569,9206,862
19453,ZCTA5 19453,1691,435,263,217
19465,ZCTA5 19465,17750,341,557,190
19519,ZCTA5 19519,140,143,0,11
19610,ZCTA5 19610,15871,629,1412,324
19702,ZCTA5 19702,54980,2941,10403,1202
19703,ZCTA5 19703,15379,1061,1973,450
19609,ZCTA5 19609,10066,741,1008,298
19454,ZCTA5 19454,27562,1127,4281,505
19462,ZCTA5 19462,15203,634,1622,347
19464,ZCTA5 19464,47040,651,2199,462
19711,ZCTA5 19711,53194,1771,6529,739
19720,ZCTA5 19720,59410,2190,7424,1004
19002,ZCTA5 19002,31166,1027,3704,571
19510,ZCTA5 19510,8949,222,495,262
19506,ZCTA5 19506,7034,503,349,126
19507,ZCTA5 19507,3358,497,113,75
19522,ZCTA5 19522,13531,683,474,265
19526,ZCTA5 19526,11415,365,198,114
19551,ZCTA5 19551,4524,568,109,64
19554,ZCTA5 19554,436,164,52,64
19604,ZCTA5 19604,29069,1707,6415,950
19147,ZCTA5 19147,38809,1827,4736,829
19701,ZCTA5 19701,42240,2739,5471,960
19710,ZCTA5 19710,0,12,0,12
19713,ZCTA5 19713,30403,2057,5147,870
24292,ZCTA5 24292,383,124,0,13
20015,ZCTA5 20015,16113,1140,2611,634
20110,ZCTA5 20110,48035,894,12480,850
20121,ZCTA5 20121,28120,1586,11254,1215
20124,ZCTA5 20124,15305,1591,3107,766
20181,ZCTA5 20181,8526,752,836,268
20184,ZCTA5 20184,436,213,57,87
20602,ZCTA5 20602,26835,1607,2126,672
20603,ZCTA5 20603,32726,1599,2811,515
20606,ZCTA5 20606,314,129,0,13
20607,ZCTA5 20607,10755,1740,1390,502
20608,ZCTA5 20608,739,173,32,28
20621,ZCTA5 20621,1277,469,0,13
20623,ZCTA5 20623,2619,348,127,90
20624,ZCTA5 20624,1242,283,0,13
20653,ZCTA5 20653,26112,1521,2693,679
20659,ZCTA5 20659,23030,1602,331,197
20684,ZCTA5 20684,784,265,4,9
20687,ZCTA5 20687,429,198,40,47
20689,ZCTA5 20689,2386,628,59,49
20144,ZCTA5 20144,1089,311,129,128
20832,ZCTA5 20832,25427,1426,5380,776
20135,ZCTA5 20135,3652,618,66,56
20164,ZCTA5 20164,42011,1909,17038,1455
20180,ZCTA5 20180,7693,673,557,155
20609,ZCTA5 20609,1211,310,10,15
20617,ZCTA5 20617,715,204,0,13
20618,ZCTA5 20618,402,176,0,13
20636,ZCTA5 20636,11295,1428,566,223
20637,ZCTA5 20637,5288,639,166,110
20645,ZCTA5 20645,653,154,0,13
20674,ZCTA5 20674,1082,444,16,29
20754,ZCTA5 20754,6950,1028,448,185
20758,ZCTA5 20758,486,173,12,19
20625,ZCTA5 20625,929,416,0,13
20755,ZCTA5 20755,11340,1301,972,354
20860,ZCTA5 20860,2890,771,567,394
20676,ZCTA5 20676,3631,652,63,54
20777,ZCTA5 20777,3444,447,521,152
20833,ZCTA5 20833,7746,1233,1347,557
20912,ZCTA5 20912,25118,1333,9069,1030
20045,ZCTA5 20045,0,13,0,13
20052,ZCTA5 20052,126,121,37,70
20053,ZCTA5 20053,0,13,0,13
20057,ZCTA5 20057,3948,478,656,218
20064,ZCTA5 20064,2084,352,251,108
20202,ZCTA5 20202,0,13,0,13
20204,ZCTA5 20204,0,13,0,13
20228,ZCTA5 20228,0,13,0,13
20230,ZCTA5 20230,0,13,0,13
20240,ZCTA5 20240,0,13,0,13
20245,ZCTA5 20245,0,13,0,13
20260,ZCTA5 20260,0,13,0,13
20307,ZCTA5 20307,41,23,0,13
20317,ZCTA5 20317,419,188,0,13
20373,ZCTA5 20373,187,98,6,14
20390,ZCTA5 20390,434,137,0,13
20405,ZCTA5 20405,0,13,0,13
20418,ZCTA5 20418,0,13,0,13
24501,ZCTA5 24501,27828,1705,575,168
20506,ZCTA5 20506,0,13,0,13
20510,ZCTA5 20510,0,13,0,13
20520,ZCTA5 20520,0,13,0,13
20535,ZCTA5 20535,0,13,0,13
20540,ZCTA5 20540,0,13,0,13
20551,ZCTA5 20551,0,13,0,13
20553,ZCTA5 20553,0,13,0,13
20560,ZCTA5 20560,0,13,0,13
20565,ZCTA5 20565,0,13,0,13
20566,ZCTA5 20566,0,13,0,13
20593,ZCTA5 20593,0,13,0,13
20660,ZCTA5 20660,0,13,0,13
20686,ZCTA5 20686,1639,517,112,61
20742,ZCTA5 20742,6511,402,465,126
20899,ZCTA5 20899,284,130,86,65
20612,ZCTA5 20612,181,115,0,13
20707,ZCTA5 20707,32184,1133,9107,926
20902,ZCTA5 20902,52752,2497,18815,1685
20711,ZCTA5 20711,7400,1091,760,484
20770,ZCTA5 20770,24602,548,6960,897
20872,ZCTA5 20872,12790,1214,1660,272
20670,ZCTA5 20670,1620,451,77,77
20720,ZCTA5 20720,23618,1488,4647,667
20905,ZCTA5 20905,18590,1534,4861,806
21009,ZCTA5 21009,31683,1841,2016,407
21017,ZCTA5 21017,6034,713,535,231
21028,ZCTA5 21028,2609,324,83,67
21032,ZCTA5 21032,7787,892,416,172
21036,ZCTA5 21036,2243,384,123,69
21044,ZCTA5 21044,45741,2090,10208,1441
21048,ZCTA5 21048,9719,893,294,134
21130,ZCTA5 21130,104,106,0,13
21146,ZCTA5 21146,27634,1534,986,279
21154,ZCTA5 21154,6467,874,77,60
21160,ZCTA5 21160,2615,791,0,13
21209,ZCTA5 21209,28621,2270,4042,609
21212,ZCTA5 21212,33865,1962,3442,507
21216,ZCTA5 21216,28733,2204,925,297
21520,ZCTA5 21520,2003,391,13,13
21545,ZCTA5 21545,1771,252,39,55
21555,ZCTA5 21555,1501,271,26,30
21001,ZCTA5 21001,24959,891,1392,321
21013,ZCTA5 21013,5157,685,79,45
21029,ZCTA5 21029,11523,1241,3064,530
21045,ZCTA5 21045,40265,1779,8243,1002
21057,ZCTA5 21057,4109,682,174,81
21060,ZCTA5 21060,36049,1961,3315,708
21531,ZCTA5 21531,1744,266,11,13
21012,ZCTA5 21012,22746,1598,1685,437
21030,ZCTA5 21030,24152,1767,4629,872
21046,ZCTA5 21046,15597,1212,2211,409
21056,ZCTA5 21056,333,262,15,27
21105,ZCTA5 21105,0,13,0,13
21111,ZCTA5 21111,5343,693,152,99
21122,ZCTA5 21122,59664,2771,3002,630
21161,ZCTA5 21161,5738,842,84,53
21163,ZCTA5 21163,6602,797,1359,314
21206,ZCTA5 21206,51670,2198,4351,952
24432,ZCTA5 24432,307,165,0,13
24473,ZCTA5 24473,854,295,22,35
24237,ZCTA5 24237,769,244,0,13
24483,ZCTA5 24483,846,465,0,13
24485,ZCTA5 24485,405,146,0,13
24503,ZCTA5 24503,19682,1211,513,164
24555,ZCTA5 24555,2249,429,89,103
24563,ZCTA5 24563,5164,485,90,70
24565,ZCTA5 24565,1010,289,32,40
24569,ZCTA5 24569,1112,348,0,13
24586,ZCTA5 24586,5334,622,93,80
24465,ZCTA5 24465,1350,176,45,57
24014,ZCTA5 24014,16010,975,419,185
24064,ZCTA5 24064,5314,822,75,48
24065,ZCTA5 24065,6311,911,46,50
24085,ZCTA5 24085,2375,479,9,13
24086,ZCTA5 24086,125,82,0,13
24105,ZCTA5 24105,479,211,0,13
24018,ZCTA5 24018,38063,1602,3742,517
24059,ZCTA5 24059,874,246,12,20
24072,ZCTA5 24072,1141,315,53,71
24073,ZCTA5 24073,29451,873,1101,338
24088,ZCTA5 24088,4957,804,22,26
24102,ZCTA5 24102,1724,569,0,13
24121,ZCTA5 24121,10489,800,177,101
24124,ZCTA5 24124,4808,498,13,18
24131,ZCTA5 24131,22,40,0,13
24138,ZCTA5 24138,1506,451,0,13
24139,ZCTA5 24139,662,295,0,13
24142,ZCTA5 24142,2658,240,87,50
24162,ZCTA5 24162,2435,797,59,99
24179,ZCTA5 24179,18715,875,301,148
24230,ZCTA5 24230,7382,809,164,100
24053,ZCTA5 24053,2513,520,233,249
24077,ZCTA5 24077,923,266,43,51
24090,ZCTA5 24090,5032,695,133,102
24091,ZCTA5 24091,7338,768,252,134
24523,ZCTA5 24523,20791,1260,403,192
24531,ZCTA5 24531,8697,716,135,55
24550,ZCTA5 24550,7870,984,542,345
24557,ZCTA5 24557,7773,738,7,13
24577,ZCTA5 24577,4479,575,16,19
24590,ZCTA5 24590,8179,880,385,242
24598,ZCTA5 24598,1596,360,18,35
24602,ZCTA5 24602,803,336,0,13
24603,ZCTA5 24603,743,211,0,13
24622,ZCTA5 24622,539,240,0,13
24712,ZCTA5 24712,2124,416,78,55
24733,ZCTA5 24733,373,184,0,12
24818,ZCTA5 24818,1056,347,0,12
24822,ZCTA5 24822,913,356,0,12
24844,ZCTA5 24844,1021,266,0,12
24851,ZCTA5 24851,584,207,0,12
24504,ZCTA5 24504,9331,1121,221,134
24517,ZCTA5 24517,4958,324,41,35
24522,ZCTA5 24522,9230,665,186,87
24529,ZCTA5 24529,1602,313,69,81
24549,ZCTA5 24549,3885,532,127,89
24553,ZCTA5 24553,2030,542,25,31
26330,ZCTA5 26330,14870,848,293,108
24521,ZCTA5 24521,9184,737,176,83
24526,ZCTA5 24526,1431,381,22,33
24530,ZCTA5 24530,876,289,16,23
24534,ZCTA5 24534,1281,354,0,13
24536,ZCTA5 24536,223,150,0,13
24539,ZCTA5 24539,135,104,0,13
24566,ZCTA5 24566,1260,316,26,27
24571,ZCTA5 24571,2270,510,8,16
24363,ZCTA5 24363,1256,255,49,48
24283,ZCTA5 24283,1831,278,20,27
24319,ZCTA5 24319,6838,654,72,65
24324,ZCTA5 24324,2373,599,41,45
24370,ZCTA5 24370,6199,676,148,82
24597,ZCTA5 24597,1088,231,50,51
24981,ZCTA5 24981,541,356,0,12
24962,ZCTA5 24962,115,127,0,12
24963,ZCTA5 24963,3679,526,1,2
24976,ZCTA5 24976,891,271,66,66
24888,ZCTA5 24888,55,39,0,12
24977,ZCTA5 24977,323,130,0,12
24313,ZCTA5 24313,704,321,24,31
24314,ZCTA5 24314,1199,276,4,6
24316,ZCTA5 24316,0,13,0,13
24317,ZCTA5 24317,4147,670,42,67
24318,ZCTA5 24318,567,176,10,16
24352,ZCTA5 24352,1168,453,3,7
24366,ZCTA5 24366,544,193,0,13
24019,ZCTA5 24019,26969,1247,1696,465
24054,ZCTA5 24054,6406,836,122,95
24055,ZCTA5 24055,11938,1145,225,190
24069,ZCTA5 24069,1433,290,0,13
24070,ZCTA5 24070,1795,588,0,13
24087,ZCTA5 24087,4110,741,126,121
24089,ZCTA5 24089,3078,686,58,72
24128,ZCTA5 24128,2007,378,29,34
24151,ZCTA5 24151,19552,1240,400,161
24167,ZCTA5 24167,140,101,0,13
24171,ZCTA5 24171,8498,621,145,73
24211,ZCTA5 24211,10260,819,201,101
24217,ZCTA5 24217,237,125,0,13
24219,ZCTA5 24219,11725,919,142,291
24250,ZCTA5 24250,1217,327,0,13
24260,ZCTA5 24260,4940,638,0,13
