FIPS,State,County,vac.accept,vac.hesitancy,vac.sample,vac.error,misinfo,per_gop,dec_gop,covidmortality,PCTPOVALL,Age65AndOlderPct2010,AsianNonHispanicPct2010,BlackNonHispanicPct2010,HispanicPct2010,NativeAmericanNonHispanicPct2010,RUCC,civic_opp_per_cap,all_nonprofits_per_cap
01003,Alabama,Baldwin County,0.6743424486454719,0.3256575513545281,22530.2912,0.00312211488063958,0.6534705499990401,0.7617137282433282,8,1.7076502732240437,10.1,16.77,0.74,9.31,4.38,0.63,3,1.5425774134790529,4.456967213114755
01015,Alabama,Calhoun County,0.5218011693622855,0.4781988306377145,723.0752,0.0186026747414929,0.18682588479262988,0.6884843967597043,7,3.4106718125925592,17.2,14.33,0.7,20.39,3.28,0.4,3,1.4697302876632412,4.2409011353946955
01051,Alabama,Elmore County,0.5700555913922215,0.4299444086077785,899.7396999999999,0.01652936137694005,NA,0.7351693882524982,8,3.186429930247305,11.4,11.9,0.65,19.94,2.68,0.34,2,1.2206721623335448,4.327837666455295
01069,Alabama,Houston County,0.6404051090990879,0.3595948909009121,8543.224899999997,0.00519222821882381,0.528169014084507,0.7064301648149351,8,3.2968110400274533,19.4,14.45,0.79,25.64,2.95,0.39,3,1.8261146652940168,5.3067627521631495
01073,Alabama,Jefferson County,0.7367625521560598,0.2632374478439402,29153.2739,0.00257929191115254,0.38179224088835995,0.426097444207115,5,2.8601026491823642,16.2,13.13,1.38,41.84,3.87,0.22,1,2.7205375027274172,7.738985656241215
01081,Alabama,Lee County,0.6784901041586665,0.3215098958413335,6538.728599999998,0.00577667541708586,0.4356250756478909,0.590924995451301,6,1.2786837260535662,15.5,9.07,2.58,22.58,3.26,0.28,3,1.9719459871669451,4.937567881929734
01083,Alabama,Limestone County,0.692001919130406,0.307998080869594,4302.429499999999,0.00703950674074824,NA,0.7035645374225652,8,1.8869888862861457,12,12.31,1.1,12.5,5.55,0.59,2,1.1321933317716872,2.7979490382863537
01089,Alabama,Madison County,0.7641713723504242,0.2358286276495758,37309.56259999999,0.00219782675446565,0.4713868279331606,0.5277074658438031,6,1.6666951864337172,11.5,12.21,2.44,23.75,4.6,0.7,2,2.5017539656736085,5.578466435086158
01097,Alabama,Mobile County,0.6626990052528396,0.33730099474716035,35287.225000000006,0.00251693432457805,0.2197378446559676,0.5527450809110961,6,2.477372281202267,17.7,12.91,1.82,34.45,2.41,0.86,2,1.8745976242473208,5.361854147468347
01101,Alabama,Montgomery County,0.7219093428826161,0.2780906571173839,18015.932300000008,0.00333837174161093,0.21042227113393655,0.33600298570693676,4,3.1451975253171116,15.8,11.96,2.09,54.47,3.62,0.23,2,3.5138653671125244,8.94019516353875
01103,Alabama,Morgan County,0.6756254521509941,0.3243745478490059,7973.864900000001,0.00524302995454559,0.5562943262411348,0.7383194966680316,8,2.848354885524292,13.7,14.12,0.56,11.77,7.66,0.78,3,1.527064786535837,4.115493750947647
01117,Alabama,Shelby County,0.7089406980871774,0.2910593019128226,9115.832199999995,0.00475818054258444,NA,0.6933449325793823,7,1.3875432112056076,6.2,10.57,1.9,10.56,5.93,0.23,1,2.0573916579945215,5.472422578677288
01125,Alabama,Tuscaloosa County,0.7124514563289164,0.2875485436710836,14534.046700000006,0.00375467453980813,0.17008898829351862,0.566883289712993,6,2.624179943767573,16.2,10.81,1.18,29.49,3.06,0.23,3,2.0316231822716695,5.25440638510143
04003,Arizona,Cochise County,0.7092408354992399,0.2907591645007601,14663.4161,0.00375040736947458,0,0.5879814131926645,6,2.7994219244257144,16.6,17.27,1.83,3.76,32.39,0.75,3,2.7488908427573797,6.4982971025477765
04005,Arizona,Coconino County,0.8322439056606294,0.16775609433937055,824.5133000000001,0.01301590804565516,0.3231907780049652,0.36882720257410084,4,2.8241200774018096,15.9,8.87,1.33,1.11,13.51,26.49,3,2.7020901975140768,5.691822254763523
04013,Arizona,Maricopa County,0.7616818126485625,0.2383181873514375,227803.76389999996,8.9266104843353e-4,0.4375763767669608,0.4811196076299544,5,2.801942105042389,12.2,12.12,3.36,4.65,29.57,1.55,1,1.669688340378727,3.917009614981287
04015,Arizona,Mohave County,0.6119219985665362,0.3880780014334638,13542.8142,0.00418771243045419,NA,0.7500596915142543,8,3.8456753118955787,16,23.31,1.01,0.86,14.77,1.89,3,1.4930268857947542,3.579871282985149
04019,Arizona,Pima County,0.8132487291802568,0.1867512708197432,115230.641,0.00114804753538999,0.2765601719964453,0.39897068566545363,4,2.811392691100181,14,15.43,2.51,3.17,34.56,2.4,2,2.164736313241311,4.566259441423509
04021,Arizona,Pinal County,0.7338065894893729,0.26619341051062706,26325.47819999999,0.00272405783945288,0.13235520196779277,0.5786788588228301,6,2.3416799611569674,12.1,13.86,1.63,4.26,28.47,4.63,1,1.1569674689602552,2.8799334119442324
04025,Arizona,Yavapai County,0.674979899816498,0.325020100183502,14314.3394,0.00391516490459972,0.9551617364117364,0.6387981574539363,7,2.4743958223697526,12,24.06,0.81,0.52,13.61,1.33,3,3.036068493705218,6.628749544589726
04027,Arizona,Yuma County,0.7533298049278847,0.2466701950721153,10581.345000000008,0.00419089818424971,0.44388988334985086,0.5224666075565598,6,5.0993022007514766,20.4,15.66,1.04,1.62,59.72,1,3,1.098503289268372,2.6276697998976397
05007,Arkansas,Benton County,0.7570359477002858,0.24296405229971418,23414.69000000001,0.00280282893924592,0.761857971788645,0.6168273400493696,7,1.9323250374115561,8.9,12.19,2.82,1.2,15.49,1.55,2,1.8596812390126254,4.717003976037232
05031,Arkansas,Craighead County,0.6902488682266631,0.3097511317733369,6144.117199999998,0.00590020228005413,0.0224820143884892,0.6636545402612241,7,2.0904828652907343,16.9,12.17,1.11,13.03,4.43,0.29,3,1.582966793948475,3.963458842863358
05045,Arkansas,Faulkner County,0.7139273185061837,0.28607268149381626,6012.4944,0.00582910319930925,0.286231884057971,0.6324134636584111,7,1.6036843620214647,14.4,9.99,1.12,10.15,3.92,0.54,2,1.9223652288334223,4.831613141987747
05051,Arkansas,Garland County,0.7285516798935321,0.2714483201064679,4051.188900000001,0.0069880264375194,0.1598712143905831,0.6576845629991628,7,3.1542569902607602,16.9,20.93,0.72,7.86,4.81,0.55,3,2.651586553565818,6.094879044926171
05119,Arkansas,Pulaski County,0.7754039288581046,0.2245960711418954,29301.3329,0.00243794043826694,0.33748139509825564,0.3747263997740592,4,2.0328371176823667,14.6,11.99,1.94,34.81,5.79,0.33,2,3.9263933888024836,9.364978825995113
05125,Arkansas,Saline County,0.6752201750307539,0.32477982496924607,4859.8065,0.00671863364334819,NA,0.6944644393335557,7,1.720110426842217,9.6,14.82,0.86,4.62,3.82,0.46,2,0.9449989382034403,3.164153748141856
05131,Arkansas,Sebastian County,0.7131521875589603,0.28684781244103974,12449.739599999994,0.0040538552620367,0.8236643704307932,0.6618158676283411,7,2.7790929863927376,15.9,13.14,4.01,6.24,12.28,1.74,2,1.9762439014348356,5.517014224838916
05143,Arkansas,Washington County,0.8055824919844876,0.19441750801551239,22634.634199999997,0.00263047961285767,0.14551573834662068,0.503935671397959,6,1.8904633564267486,15.1,9.67,2.15,2.87,15.49,1.06,2,2.105414000451947,5.450927870280042
06001,California,Alameda County,0.8806911199796145,0.11930888002038553,86357.33140000002,0.0011030598434484,0.10979645802912635,0.1770559475439818,2,1.0456495121053462,8.9,11.11,25.86,12.19,22.51,0.28,1,2.638912885076208,6.3302359472067184
06007,California,Butte County,0.7608193332973111,0.2391806667026889,19661.505200000007,0.00304238276400422,0.4992473165474285,0.47754846043785887,5,1.0698368927817474,16.1,15.37,4.06,1.42,14.14,1.54,3,2.5229843300361,5.515094998083447
06013,California,Contra Costa County,0.8656767301902006,0.13432326980979936,93423.34029999997,0.00111563029861044,0.12271560937836616,0.2630232438105397,3,0.8436894820417061,7.9,12.43,14.19,8.92,24.36,0.28,1,2.126544482550155,5.120245306907415
06017,California,El Dorado County,0.7920714750386348,0.20792852496136516,7227.310200000002,0.00477384040482961,0.19491628558611804,0.5324527717026296,6,0.6914735495211385,8.7,14.65,3.39,0.72,12.08,0.86,1,2.675421023380853,5.777358441793437
06019,California,Fresno County,0.7539109011845859,0.24608909881541408,65447.91269999999,0.00168370702164011,0.21688306930195791,0.4508222110748364,5,2.2098353707504237,20.5,10.04,9.33,4.84,50.31,0.64,2,1.5754662264656019,4.044626126528064
06023,California,Humboldt County,0.8029094831382708,0.19709051686172918,15388.535200000002,0.00320677992011111,0.48510508776040706,0.3162956936130644,4,0.3093046104581347,19.1,13.17,2.12,1.03,9.81,5.17,5,3.265892798660893,7.523379789672865
06025,California,Imperial County,0.7657786522706597,0.23422134772934033,4025.2785000000017,0.00667588397650961,NA,0.3675552734581614,4,5.48547621803032,22,10.4,1.26,2.93,80.37,0.94,3,1.1958492458434593,3.2557960112641284
06029,California,Kern County,0.7075500558561081,0.2924499441438919,53988.29149999999,0.0019577615090305,0.1507702885541274,0.5388924927758447,6,1.868619514439687,19,8.98,3.94,5.4,49.19,0.7,2,1.350771702424682,3.7621955499403383
06031,California,Kings County,0.6849248032157206,0.3150751967842794,6971.6304,0.0055640546127607,0,0.5488622372201195,6,2.141634631755334,16,7.86,3.49,6.74,50.9,0.85,3,1.371004596897766,3.1810890973771695
06033,California,Lake County,0.6925396468854899,0.30746035311451014,2153.088,0.00994665556328206,NA,0.45565972222222223,5,0.8471570983884313,18.3,17.69,1.07,1.83,17.15,2.37,4,2.6990819181212813,6.28472359036999
06037,California,Los Angeles County,0.8331714771209956,0.1668285228790044,342854.9123,6.3671781738108e-4,0.248566157569194,0.2686865990702819,3,2.915933091622494,13.4,10.85,13.5,8.3,47.74,0.19,1,1.7237192663248868,5.136830350328714
06039,California,Madera County,0.7444280464579532,0.25557195354204676,10103.0263,0.00434007754825753,NA,0.5468523137634489,6,2.023156825307853,17.6,11.44,1.68,3.32,53.69,1.19,3,1.7253761670374326,4.195203979750916
06041,California,Marin County,0.9151519866417106,0.0848480133582894,22703.15959999998,0.00184936441173617,0.2958228450619082,0.15797074473206205,2,1.0554471192076917,6.9,16.72,5.38,2.62,15.48,0.21,1,4.7374635533386344,11.021952336200872
06045,California,Mendocino County,0.8044244889562485,0.19557551104375148,8578.5548,0.00428265687652073,NA,0.3061426989108363,4,0.6722197866432851,14,15.36,1.6,0.62,22.2,3.97,4,4.369428613181353,9.527984801987433
06047,California,Merced County,0.7252869010084544,0.2747130989915456,17427.8156,0.00338130046844043,0.18248175182481752,0.43512883665963487,5,2.199021638983767,17,9.37,7.11,3.43,54.92,0.44,2,1.2165883604562968,3.3392550814197945
