GCFIP,PES16,PES16_se,PES15,PES15_se,PES2,PES2_se,total_pop,white,black,asian,native,hispanic,per_gop,civic_opp_orgs,all_non_profits,civic_opp_pc,all_orgs_pc
01,1.775995924603845,0.019056398077758677,1.7707377796180324,0.024234035580962137,3.800912933335257,0.08490052180003554,9559472,0.6704140144978719,0.2603568481606516,0.011075297882560878,0.005420173833868649,0.03883101493471606,0.6203096968799606,7152,19951,0.7481584756982395,2.0870399536710815
02,1.7087184415163914,0.01945344607287114,1.6851732890547635,0.022733227979698536,3.583780388763158,0.10204734837826956,1420462,0.6410871955743976,0.03090402981565153,0.052741995210009135,0.14439809019882263,0.05526230198343919,0.48522790574070007,2234,4835,1.5727277463247873,3.4038221367414265
04,1.7756790449417037,0.014978374840332353,1.75956152381528,0.01553581522657883,3.8395180301209666,0.07858036606069888,12784034,0.5781660155159162,0.037406189626842355,0.02667530452437783,0.040273046833260925,0.29648685227213883,0.4905598103046474,10081,23221,0.7885617325485836,1.816406308055814
05,1.707043165299573,0.017757075431793643,1.7006178579140268,0.01722891193791154,3.6922277244070973,0.09977635570147934,5831836,0.7453807000059672,0.15333147228420005,0.012224966545698473,0.00692166240614448,0.063804949247544,0.6239572985614432,4726,13394,0.810379441397186,2.296703816773997
06,1.7771508582862414,0.0083379697967735,1.7699003426512432,0.008160173544229593,3.826800255314326,0.04101385169701279,74507912,0.4014675112624281,0.05808252954397648,0.1281761861746978,0.0043552421654226466,0.3761672720073004,0.3432780788831399,60773,156637,0.8156583424321433,2.1022868014339204
08,1.605107169698315,0.025375957447807324,1.6663630513089775,0.02467846899348603,3.2608380494670604,0.09288847136189993,10058392,0.7000707468947323,0.03753641735179937,0.02695540201654499,0.006212523830846918,0.20653142172227926,0.4189827117554352,13471,29632,1.3392796781036174,2.945997730054665
09,1.6895009328568986,0.0250718339300708,1.6738155804236252,0.020422403345569804,3.640506103062503,0.13313430441267762,7148194,0.7124210674752252,0.09376326383978946,0.03751744846320623,0.0019263607003391346,0.13404420752990195,0.3920949634924463,8739,18602,1.2225465621106533,2.6023356389040364
10,1.7003688534402133,0.02764554397909996,1.677250399037679,0.026304539313558434,3.6907254174399,0.11286421718767806,1795868,0.6534466898458016,0.20801306109357703,0.03152570233447002,0.0031449972937877394,0.0815438551163003,0.39801392829507354,2335,6796,1.3002069194395134,3.7842424944372306
11,1.648796631449455,0.021049328199076112,1.6302526081415492,0.018980185661454305,2.78093049221434,0.06785535530603717,1203446,0.3481070193427873,0.5003182527508505,0.034597314711254185,0.0021970242121374787,0.09098704885802936,0.05397321376714795,5843,11051,4.85522408151259,9.182796735374916
12,1.7860989675018417,0.010848685011803687,1.7899851065300287,0.0103057653579447,3.928449648058907,0.05731988880249627,37602620,0.5789342338379613,0.1516436886578648,0.0236800520814773,0.0025139205725558484,0.22465487777181484,0.5121981962250404,29074,83386,0.7731908042577884,2.2175582446116784
13,1.7517103259852744,0.01649031955792069,1.7796914613113908,0.018548280810095553,3.7831274747680284,0.06991143397300634,19375306,0.5588474318805597,0.3004649320119125,0.032174149920522546,0.002196507244840417,0.08812134373516475,0.49259581776955713,17698,45843,0.9134307349778115,2.3660529542088264
15,1.6923222310247585,0.022112077673043868,1.7290774179935415,0.023798959728077444,3.6255211642607175,0.09815254165672867,2720602,0.22740775754777803,0.01463205569943711,0.37733854492498353,0.0020752759867117645,0.08883475054418102,0.3426886394217965,2651,6753,0.9744166915998739,2.4821712253390977
16,1.6741185058332837,0.023624235490805216,1.6758237050572147,0.020069329010115752,3.896750029528978,0.08167395488843879,3135164,0.839664527916243,0.0056615858053996534,0.011820115311352134,0.01119941412953198,0.11221167377527938,0.6383075780003571,3510,8182,1.1195586578564949,2.609751834353801
17,1.6834104945815582,0.018346299678417746,1.6827559782884782,0.016797266256520043,3.5796867422685454,0.07312218358848471,25661264,0.6365822821510273,0.14285531686981592,0.04524999236202862,0.001469062474864839,0.15802635443055338,0.40519155137153595,22944,56580,0.8941102823305976,2.20487969727446
18,1.6936707503864723,0.02226563757785088,1.672689715609878,0.024072110529326864,3.792341185001858,0.07541430063392873,12967604,0.8153322695541906,0.08978374108277828,0.015645758460853677,0.0021846749792791328,0.060104703999289306,0.5703063235568532,13562,32344,1.045836995022365,2.4942155852384142
19,1.6761862755222448,0.024946237849981467,1.6821414441202582,0.02097120274806527,3.910967941431209,0.1191681460896392,6092710,0.8866737461654994,0.028527863627187244,0.017265551782375987,0.002816808940520721,0.04974600793407203,0.5308932496920227,5082,19316,0.8341115858132095,3.170346200623368
20,1.6796351875474422,0.02804086728688725,1.6469006133575497,0.027981036922398887,3.8813511477061335,0.08909290619355677,5706236,0.7817899575131487,0.05702533158460323,0.02347151432222572,0.008086942075301477,0.1051628428967887,0.5617357270887625,6164,15174,1.0802217083205112,2.659196009418468
21,1.7903537733378883,0.021936577643276008,1.777075260804146,0.020714463174644898,4.060501538433836,0.13280335513097802,8678734,0.8631800444627062,0.07675658684780522,0.011139412730013386,0.001991534710016461,0.03061183808606186,0.6208657186929044,6922,18479,0.7975817671102721,2.1292276039339377
