FIPS,TotalPopEst2019
29097,121328
39139,121154
40031,120749
13045,119992
01103,119679
30063,119600
48451,119200
54003,119171
16019,119062
18019,118302
26005,118081
55063,118016
37089,117417
48375,117415
13185,117406
36075,117124
09015,116782
39169,115710
55117,115340
12035,115081
30031,114434
13113,114421
18035,114135
46103,113775
01015,113605
24037,113510
42081,113299
13217,111744
41019,110980
21093,110958
04017,110924
53015,110593
22109,110461
05031,110332
26045,110268
18091,109888
17091,109862
36045,109834
36069,109777
42085,109424
51003,109330
17099,108669
02170,108317
23001,108277
47011,108110
51085,107766
36089,107740
13015,107738
41071,107100
18167,107038
39109,106987
45085,106721
28089,106272
12055,106221
01069,105882
29037,105780
54061,105612
34041,105267
27019,105089
48397,104915
17037,104897
55035,104646
13313,104628
29165,104418
17115,104009
29071,103967
55127,103868
30029,103806
24045,103609
55039,103403
26017,103126
19193,103107
42001,103009
24015,102855
39003,102351
01055,102268
36109,102180
37049,102139
39029,101883
21059,101511
37125,100880
06057,99755
56021,99500
05051,99386
51770,99143
01083,98915
48231,98594
51121,98535
13115,98498
26091,98451
36079,98320
47155,98250
45057,98012
47113,97984
37045,97947
53025,97733
22057,97614
19061,97311
39007,97241
27141,97238
19169,97117
06101,96971
02090,96849
01095,96774
47119,96387
38015,95626
36101,95379
53021,95222
13297,94593
51740,94398
37127,94298
51161,94186
39055,93649
21037,93584
19049,93453
48037,93245
19155,93206
26055,93088
41003,93053
21151,92987
01077,92729
24009,92525
40131,92459
51800,92108
48469,92084
34009,92039
39157,91987
54011,91945
37157,91010
13247,90896
42097,90843
55109,90687
37023,90485
36117,89918
33009,89886
01115,89512
51069,89313
55089,89221
48021,88723
12089,88625
29043,88595
48291,88219
13095,87956
55027,87839
16005,87808
26087,87607
41033,87487
29021,87364
16083,86878
06045,86749
48005,86715
39119,86215
45075,86175
37109,86111
41053,86085
42073,85512
28081,85436
13127,85292
53029,85141
55055,84769
42039,84629
42063,84073
18005,83779
01043,83768
72061,83728
54107,83518
36015,83456
48361,83396
13013,83240
26111,83156
48213,82737
18067,82544
37027,82178
51680,82168
22097,82124
44005,82082
72013,81966
51165,81948
37195,81801
40119,81784
20103,81758
21029,81676
30013,81366
40145,81289
01051,81209
53041,80707
36019,80485
47141,80245
01121,79978
56025,79858
13031,79608
26037,79595
45073,79546
18085,79456
42033,79255
51019,78997
55071,78981
29031,78871
05145,78753
06115,78668
18043,78522
18059,78168
41059,77950
53009,77331
53007,77200
47001,76978
29051,76745
35061,76688
39141,76666
36011,76576
51095,76523
36009,76117
33005,76085
48099,75951
39063,75783
17183,75758
26159,75677
51015,75558
36105,75432
39145,75314
53027,75061
28035,74897
12107,74521
37037,74470
72137,74271
39043,74266
20161,74232
12087,74228
28075,74125
12131,74071
42111,73447
54081,73361
05085,73309
55141,72999
13157,72977
48471,72971
40125,72592
15007,72293
49045,72259
72135,72025
04001,71887
47147,71813
37171,71783
12023,71686
72097,71530
40037,71522
01049,71513
35031,71367
51061,71222
35025,71070
36053,70941
45047,70811
55097,70772
18109,70489
08014,70465
21047,70461
24001,70416
25011,70180
48497,69984
13285,69922
26073,69872
22045,69830
13295,69761
37069,69685
37031,69473
38035,69451
30049,69432
47059,69069
37193,68412
51199,68280
41035,68238
26155,68122
28067,68098
40101,67997
18011,67843
27013,67653
38101,67641
13047,67580
45059,67493
35035,67490
54033,67256
29187,67215
23003,67055
37161,67029
39013,67006
27131,66972
20015,66911
05069,66824
21185,66799
53045,66768
48409,66730
13255,66703
26103,66699
45031,66618
17199,66597
48203,66553
45055,66551
18177,65884
18053,65769
17001,65435
21145,65418
39009,65327
39081,65325
48347,65204
39101,65093
06103,65084
27035,65055
21199,64979
42037,64964
47063,64934
42005,64735
26067,64697
55017,64658
48427,64633
35005,64615
41011,64487
55111,64442
06033,64386
13103,64296
27027,64222
42025,64182
05115,64072
36113,63944
26117,63888
72139,63674
37163,63531
01127,63521
28073,63343
05033,63257
37141,63060
18173,62998
36051,62914
06069,62808
37167,62806
45043,62680
34033,62385
39083,62322
37087,62317
22001,62045
20155,61998
37105,61779
48221,61643
47167,61599
26015,61550
13179,61435
31079,61353
36043,61319
33001,61303
36115,61204
46083,61128
40047,61056
26149,60964
21125,60813
53071,60760
47035,60520
37077,60443
51143,60354
42015,60323
08045,60061
39167,59911
22113,59511
36077,59493
39087,59463
36021,59461
29113,59013
39159,58988
54055,58758
27111,58746
37061,58741
48323,58722
02122,58708
28087,58595
39143,58518
35015,58460
39129,58457
50023,58409
39077,58266
29145,58236
50021,58191
23017,57975
13129,57963
01113,57961
21195,57876
01009,57826
48001,57735
48199,57602
55021,57532
32019,57510
45021,57300
36037,57280
54037,57146
21209,57004
47073,56786
17077,56750
48467,56590
27025,56579
47031,56520
54079,56450
47019,56391
08067,56221
37189,56177
54049,56072
49003,56046
51067,56042
37107,55949
29213,55928
32510,55916
01001,55869
40051,55834
42103,55809
28109,55535
37047,55508
48473,55246
01033,55241
37093,55234
39147,55178
17195,55175
08037,55127
50027,55062
23009,54987
51031,54885
49021,54839
13039,54666
47089,54495
06109,54478
48401,54406
20169,54224
21113,54115
47105,54068
29101,54062
28071,54019
04007,54018
47043,53948
47107,53794
51191,53740
17007,53544
39005,53484
22099,53431
36035,53383
47145,53382
22089,53100
51660,53016
32007,52778
48073,52646
29169,52607
51047,52605
48265,52600
41009,52354
01031,52342
24047,52276
26157,52245
26027,51787
01071,51626
48325,51584
40147,51527
37065,51472
19181,51466
55043,51439
42127,51361
48373,51353
48013,51153
39037,51113
48493,51070
17063,51054
21073,50991
55135,50990
42121,50668
72069,50653
17141,50643
17029,50621
51089,50557
23025,50484
27169,50484
24035,50381
